Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
potted plant,2,2,2,3,0,0,0,0,12,2,1,6,1,8,18,14,0,16,6,0,4,1,27,2,4,0,11,9,0,5,1,1,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,1,1,19,2,275,3,0,1,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,2,1,1,1,1,3,4,60,5,0,0
refrigerator,3,0,0,0,0,0,0,7,2,0,0,0,14,4,0,0,6,0,3,0,0,3,16,1,0,1,7,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,14,0,0,0,61,19,7,0,1,113,1,0,1,0,2,0,2,1,0,0,7,34,5,0,0,1,1,35,0,1,3,18,32,3,11,0,0,0
remote,0,0,1,2,0,2,0,2,1,1,1,1,61,30,12,0,1,5,4,0,1,71,7,10,7,0,21,3,1,4,0,0,5,6,0,15,3,0,5,14,0,25,7,0,0,11,0,1,0,9,3,0,1,185,5,2,0,4,0,0,2,19,3,0,7,0,1,2,4,0,1,28,0,2,2,2,0,1,1,0,0
sandwich,0,7,0,7,0,0,0,1,0,0,4,1,1,6,74,4,0,101,0,1,0,1,3,1,0,0,10,27,1,41,0,0,7,0,0,0,2,0,67,1,1,7,1,0,0,1,3,3,0,10,47,1,0,1,139,0,1,1,0,0,0,4,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0
scissors,5,1,1,3,0,1,0,3,5,6,3,0,2,1,4,0,2,6,3,1,3,3,6,1,1,0,5,7,1,3,2,1,9,2,1,1,6,3,0,0,1,11,2,1,5,0,1,3,1,8,1,2,2,2,0,22,0,0,2,2,1,8,0,3,1,0,0,5,4,0,7,3,0,1,1,1,7,4,1,0,0
sheep,2,0,2,2,0,3,24,4,6,2,24,5,0,0,0,0,0,2,6,0,8,0,14,0,6,149,1,1,43,2,27,0,0,1,3,0,0,44,1,0,2,1,0,0,3,0,1,0,0,44,1,2,0,0,3,0,315,0,1,0,0,0,7,1,2,1,39,0,0,0,1,0,0,0,7,0,3,0,0,7,0
sink,0,0,0,0,0,0,0,8,9,0,0,5,11,1,76,0,0,3,5,0,0,2,20,1,8,0,4,26,0,0,0,0,0,3,0,0,2,0,0,3,0,1,4,2,0,2,0,18,0,1,0,0,1,1,0,0,0,179,0,0,0,0,0,0,4,5,0,0,0,1,72,0,1,1,2,3,0,3,0,0,0
skateboard,34,0,8,2,6,3,1,1,50,20,3,5,3,6,1,0,0,2,11,0,1,15,12,1,0,0,1,3,6,0,1,10,0,1,0,0,13,0,1,0,2,13,0,0,36,0,0,0,0,48,0,1,0,6,0,3,0,2,150,14,25,3,1,0,34,14,2,7,3,0,2,1,3,0,14,0,1,3,1,1,0
skis,15,0,4,0,2,0,0,0,7,6,1,6,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,4,1,0,4,0,0,0,0,15,0,0,0,0,0,2,0,0,9,169,106,1,0,0,1,9,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
snowboard,5,0,2,0,2,0,0,0,4,0,1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,4,0,0,0,0,13,0,0,0,1,0,1,0,0,8,57,49,1,0,0,3,9,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0
spoon,1,2,1,3,2,0,0,0,0,0,2,0,5,6,27,0,0,9,0,4,0,5,6,0,0,0,12,6,0,2,0,0,118,2,0,1,2,0,1,0,0,101,1,0,1,4,2,1,0,3,0,0,0,1,3,24,0,0,3,2,1,140,0,0,1,0,0,4,1,0,0,24,0,0,0,0,0,4,2,0,0
sports ball,1,79,3,12,3,3,0,0,1,0,7,3,1,3,14,0,0,1,3,0,0,2,4,2,1,0,12,1,0,4,1,0,0,8,0,1,2,0,0,0,0,0,0,0,1,4,55,0,0,27,0,2,0,2,0,0,32,1,0,0,0,0,142,9,0,0,2,2,0,0,2,0,7,0,1,0,13,18,0,0,0
stop sign,21,29,0,1,11,1,24,3,0,13,6,13,9,16,0,0,26,19,25,0,13,15,1,37,3,7,18,20,11,32,24,0,0,23,16,1,0,20,8,1,27,1,23,22,4,6,27,12,0,32,19,11,25,2,1,15,13,8,14,3,23,0,32,63,24,26,16,23,33,20,25,0,2,33,28,19,33,17,2,14,0
suitcase,1,0,99,0,1,8,0,22,47,5,1,13,13,7,5,0,8,6,42,0,1,27,117,1,30,0,4,14,5,0,0,1,0,0,0,0,133,0,0,1,6,1,19,4,32,4,0,17,12,31,0,0,16,1,1,0,0,2,18,3,13,0,1,3,238,11,4,0,3,10,9,1,9,8,19,19,7,4,0,0,0
surfboard,18,6,9,10,2,0,2,3,12,4,10,124,10,4,5,0,1,0,7,1,0,4,19,10,1,0,3,8,3,0,3,2,2,19,0,0,10,0,3,0,20,27,1,0,3,5,1,0,3,62,0,1,4,1,0,6,0,12,19,14,32,3,1,16,7,209,1,4,8,1,2,8,1,0,2,1,55,9,0,0,0
teddy bear,0,2,33,3,2,4,52,33,33,1,34,4,2,6,5,2,0,28,7,1,32,1,70,1,47,3,4,11,87,9,25,8,0,1,0,1,10,5,2,0,13,0,2,1,2,0,0,1,4,114,2,4,2,2,6,0,36,3,0,0,0,0,3,1,10,0,153,1,2,0,7,0,1,4,3,3,3,4,1,0,0
tennis racket,0,0,19,0,43,5,0,1,34,68,3,2,3,12,2,0,0,1,1,0,4,7,82,14,0,0,2,1,3,0,0,0,9,8,1,3,46,0,1,2,5,7,3,0,5,0,0,0,0,73,0,1,0,4,0,60,0,0,3,1,0,13,3,10,3,1,0,188,21,0,9,22,1,0,0,0,8,1,31,5,0
tie,0,0,4,4,4,1,0,2,0,2,4,0,7,16,0,0,0,0,0,5,2,5,12,1,3,0,3,4,1,2,0,0,8,1,3,0,20,0,3,1,7,18,0,0,0,0,0,0,0,23,2,0,1,3,0,6,0,0,2,4,7,6,1,3,0,4,0,7,162,0,0,12,0,0,0,0,0,13,1,0,0
toaster,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,3,3,1,0,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
