Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
parking meter,0,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,4,0,0,6,4,6,0,0,3,2,0,0,0,4,0,2,0,1,1,0,0,0,2,0,1,2,2,1,0,3,48,2,0,0,2,4,0,0,0,0,1,0,0,0,1,6,6,2,0,1,0,0,5,0,9,2,0,3,0,3,1,0,0
person,57,3,199,11,11,11,1,448,165,232,91,48,7,57,9,2,86,15,455,3,147,3,2202,3,243,150,9,187,102,5,39,99,2,3,4,3,148,602,7,2,65,9,35,25,528,2,0,180,28,9498,6,77,529,4,10,6,110,18,16,50,31,6,2,6,38,72,529,14,8,0,89,6,18,99,171,79,55,18,11,3,0
pizza,0,4,0,9,0,0,1,19,2,0,0,0,25,0,60,14,0,108,0,10,0,1,3,11,7,0,4,69,0,69,0,0,7,4,1,0,1,0,84,6,0,10,2,0,0,0,1,41,0,30,232,1,2,0,203,1,0,2,0,0,0,7,0,3,1,1,0,0,1,0,1,1,0,0,0,3,3,3,0,0,0
potted plant,2,1,2,3,0,0,0,0,11,0,1,6,1,8,18,8,0,15,4,0,0,0,38,2,12,0,8,17,0,5,1,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,1,1,18,2,274,3,0,1,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,9,1,0,1,1,3,3,32,5,0,0
refrigerator,2,0,0,0,0,0,0,7,1,0,0,0,12,4,0,0,6,0,2,0,0,3,17,0,0,0,6,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,14,0,0,0,62,19,7,0,1,113,1,0,1,0,2,0,0,1,0,0,7,34,4,0,0,1,1,35,0,1,3,18,32,2,9,0,0,0
remote,0,1,1,2,0,2,0,4,1,1,1,0,30,30,12,0,1,6,4,0,0,72,7,2,2,0,21,3,1,4,0,0,5,3,0,14,3,0,5,38,0,25,23,0,0,31,0,1,0,4,3,0,1,187,5,2,0,4,0,0,0,19,1,0,4,0,1,2,1,0,2,28,0,2,2,7,0,1,3,0,0
sandwich,0,9,0,12,0,0,0,0,0,0,4,1,1,6,69,4,0,118,0,2,0,0,2,1,0,0,6,22,1,41,0,0,6,0,0,0,2,0,71,1,1,6,1,0,0,1,7,3,0,10,66,1,0,1,138,0,0,1,0,0,0,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
scissors,0,1,0,2,0,1,0,1,5,0,1,0,6,2,3,0,0,3,0,1,0,3,6,6,1,0,4,7,1,1,2,1,9,2,1,5,6,1,0,0,0,12,2,1,1,0,1,3,1,7,0,2,2,1,0,22,0,0,2,1,1,7,0,1,1,0,0,4,3,0,7,8,0,1,0,1,6,3,0,0,0
sheep,2,0,1,2,0,0,61,3,2,0,66,4,0,0,0,0,0,2,4,0,8,0,14,0,3,150,0,1,108,1,62,0,0,0,17,0,0,45,0,0,1,0,0,0,0,0,1,0,0,34,1,1,0,0,1,0,314,0,0,0,0,0,5,0,1,0,17,0,0,0,1,0,0,0,1,0,1,0,0,40,0
sink,0,0,0,0,0,0,0,7,7,0,0,4,11,1,75,0,0,3,4,0,0,2,22,1,11,0,10,26,0,0,0,0,0,3,0,0,2,0,0,4,0,1,4,4,0,2,0,37,0,1,0,0,3,1,0,0,0,179,0,0,0,0,0,0,3,5,0,0,0,1,31,0,1,1,2,3,0,3,0,0,0
skateboard,34,0,6,2,6,2,0,1,6,20,1,3,2,6,1,0,0,2,12,0,1,0,12,1,0,0,1,3,1,0,0,8,0,1,0,0,8,0,1,0,2,13,0,0,36,0,0,0,0,18,0,1,0,0,0,3,0,2,150,14,25,3,1,0,2,13,2,7,1,0,2,1,3,0,14,0,1,2,1,1,0
skis,15,0,1,0,2,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3,1,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,9,169,102,1,0,0,1,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
snowboard,5,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,4,0,0,0,0,11,0,0,0,0,0,1,0,0,8,57,48,1,0,0,2,9,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
spoon,1,1,1,1,2,0,0,0,0,0,2,0,5,8,28,0,0,6,0,4,0,5,4,0,0,0,18,2,0,2,0,0,118,2,0,1,2,0,1,0,0,100,1,0,1,4,0,1,0,3,0,0,0,1,3,24,0,0,2,2,1,140,0,0,1,0,0,4,1,0,0,24,0,0,0,0,0,4,3,0,0
sports ball,1,79,1,12,3,3,0,0,1,0,2,1,1,4,11,0,0,1,3,0,0,2,4,1,1,0,11,1,0,5,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,4,55,0,0,6,0,2,0,0,0,0,31,1,0,0,0,0,142,9,0,0,2,2,0,0,2,0,7,0,1,0,2,16,0,0,0
stop sign,0,29,0,1,0,0,23,0,0,0,0,9,3,16,0,0,0,20,1,0,0,0,0,37,0,0,0,20,1,0,19,0,0,14,10,2,0,0,0,1,24,1,23,22,0,7,27,12,0,29,20,0,25,0,0,0,0,8,4,0,13,0,28,63,23,22,0,15,31,20,25,1,2,0,1,19,33,1,0,6,0
suitcase,1,0,97,0,1,1,0,24,24,5,0,7,9,7,4,0,8,6,41,0,1,9,118,0,15,0,5,15,3,0,0,1,0,0,0,0,129,0,0,1,2,1,19,4,31,4,0,17,11,18,0,0,16,1,1,0,0,2,7,1,7,0,0,2,238,4,4,0,3,10,10,1,8,7,20,19,6,4,0,0,0
surfboard,25,6,5,10,2,0,0,3,2,6,3,40,0,4,4,0,1,0,8,1,0,2,19,1,0,0,3,6,1,0,1,2,1,17,0,0,3,0,3,0,20,27,1,0,3,5,1,0,3,21,0,1,4,0,1,7,0,12,18,16,31,3,1,15,4,210,1,4,1,1,2,9,1,1,2,2,17,9,0,0,0
teddy bear,0,2,26,2,1,3,49,13,26,0,31,2,4,6,4,0,0,27,2,0,9,0,70,2,42,0,4,11,82,6,20,0,0,0,0,1,7,1,1,0,9,0,2,1,0,0,0,2,2,110,0,1,2,1,2,0,10,2,0,0,0,0,2,0,5,0,153,1,1,0,9,0,1,0,0,3,2,4,1,0,0
tennis racket,0,0,7,0,43,5,0,1,3,68,1,1,1,11,2,0,0,1,1,0,4,5,82,2,0,0,1,1,0,0,0,0,10,8,0,3,14,0,1,2,5,7,3,0,5,0,0,0,0,19,0,1,0,1,0,60,0,0,3,1,0,12,3,10,1,1,0,188,3,0,9,24,1,0,0,0,2,1,30,0,0
tie,0,0,4,4,0,1,0,1,0,2,0,0,1,16,0,0,0,0,0,4,2,2,12,0,0,0,3,4,0,2,0,0,8,1,0,0,20,0,2,1,5,19,0,0,0,0,0,0,0,2,2,0,1,0,0,7,0,0,0,0,0,5,1,2,0,0,0,3,162,0,0,13,0,0,0,0,0,13,1,0,0
toaster,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,3,4,1,0,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
